sort_buffer_size,key_buffer_size,read_buffer_size,CPU,MEM
292585,365723,438861,318.1588235,584962
292585,365723,438861,341.74375,564986
292585,365723,438861,330.9058824,576731
292585,365723,438861,338.21875,610240
292585,365723,438861,336.4333333,492000
365723,438861,438861,319.4944444,566697
365723,438861,438861,313.9055556,561732
365723,438861,438861,332.3,588276
365723,438861,438861,341.2473684,501831
365723,438861,438861,333.7333333,572481
438861,438861,73170,337.8705882,516864
438861,438861,73170,318.2352941,643184
438861,438861,73170,337.2764706,620336
438861,438861,73170,341.1833333,590350
438861,438861,73170,320.5,527303
438861,73170,146308,322.5277778,473223
438861,73170,146308,325.7888889,421006
438861,73170,146308,335.38125,425750
438861,73170,146308,320.7470588,547055
438861,73170,146308,318.4555556,436309
73170,146308,146308,344.6166667,467989
73170,146308,146308,334.0117647,530095
73170,146308,146308,339.6888889,600383
73170,146308,146308,339.1111111,457990
73170,146308,146308,334.9117647,484013
146308,146308,292585,336.1117647,457692
146308,146308,292585,320.3277778,447401
146308,146308,292585,329.4117647,547799
146308,146308,292585,335.4111111,547731
146308,146308,292585,338.0764706,485813
146308,292585,32,332.325,284818
146308,292585,32,335.6529412,306717
146308,292585,32,337.175,292207
146308,292585,32,338.3444444,244488
146308,292585,32,343.8529412,298278
292585,32,438861,312.1941176,471655
292585,32,438861,339.0388889,425106
292585,32,438861,327.6117647,499807
292585,32,438861,334.2882353,471103
292585,32,438861,342.4529412,499685
32,438861,365723,333.3588235,316692
32,438861,365723,337.7,292896
32,438861,365723,339.4,274095
32,438861,365723,343.85,313591
32,438861,365723,361.6647059,295604
438861,365723,32,350.6176471,345053
438861,365723,32,348.3,294174
438861,365723,32,359.71875,305732
438861,365723,32,362.85625,298805
438861,365723,32,364,315033
365723,32,438861,361.65,556862
365723,32,438861,357.1588235,443692
365723,32,438861,365.08125,429248
365723,32,438861,356.0166667,445171
365723,32,438861,316.8882353,561947
32,438861,438861,334.1470588,329048
32,438861,438861,338.2647059,293840
32,438861,438861,342.33125,297017
32,438861,438861,336.7411765,305432
32,438861,438861,338.3647059,303884
438861,438861,219446,321.2,590674
438861,438861,219446,324.4055556,526865
438861,438861,219446,338.5176471,581739
438861,438861,219446,335.5111111,568665
438861,438861,219446,335.8823529,517007
438861,219446,146308,335.2294118,447141
438861,219446,146308,326.1944444,479408
438861,219446,146308,335.8722222,452393
438861,219446,146308,337.65,418856
438861,219446,146308,330.4647059,593732
219446,146308,146308,338.3833333,405390
219446,146308,146308,331.3578947,451057
219446,146308,146308,339.7777778,431877
219446,146308,146308,341.3277778,537285
219446,146308,146308,343.8944444,539996
146308,146308,219446,337.0705882,520207
146308,146308,219446,345.0411765,504773
146308,146308,219446,327.9166667,505626
146308,146308,219446,334.2176471,527822
146308,146308,219446,339.2647059,470331
146308,219446,219446,340.5666667,423551
146308,219446,219446,327.5833333,535336
146308,219446,219446,313.5555556,467228
146308,219446,219446,336.7823529,589033
146308,219446,219446,334.8875,495351
219446,219446,219446,337.1777778,481172
219446,219446,219446,334.2352941,533307
219446,219446,219446,319.3176471,485458
219446,219446,219446,342.3277778,492954
219446,219446,219446,339.2888889,533060
219446,219446,365723,329.1176471,580783
219446,219446,365723,336.6111111,563429
219446,219446,365723,331.6666667,470646
219446,219446,365723,328.5058824,560886
219446,219446,365723,335.6705882,484514
219446,365723,146308,337.5588235,613307
219446,365723,146308,335.7352941,616936
219446,365723,146308,338.5588235,583530
219446,365723,146308,335.7705882,579963
219446,365723,146308,337.4176471,539448
365723,146308,146308,346.3888889,449113
365723,146308,146308,338.9235294,577364
365723,146308,146308,342.4166667,431778
365723,146308,146308,338.4,530992
365723,146308,146308,338.7722222,462925
146308,292585,365723,341.1,612397
146308,292585,365723,341.8823529,545907
146308,292585,365723,338.3277778,564550
146308,292585,365723,322.8588235,525503
146308,292585,365723,332.2764706,482143
292585,365723,73170,337.6555556,555186
292585,365723,73170,333.76875,547012
292585,365723,73170,331.8470588,633896
292585,365723,73170,338.3764706,553040
292585,365723,73170,326.4375,573053
365723,73170,438861,339.1647059,467083
365723,73170,438861,333.4470588,600012
365723,73170,438861,329.5833333,582316
365723,73170,438861,328.0117647,498484
365723,73170,438861,343.2578947,571896
73170,438861,292585,337.7470588,539113
73170,438861,292585,330.4222222,517443
73170,438861,292585,320.2111111,496483
73170,438861,292585,328.2058824,626998
73170,438861,292585,338.3411765,529545
32,32,32,330.4058824,57718
32,32,32,335.79375,58027
32,32,32,335.5764706,58802
32,32,32,334.0055556,57458
32,32,32,332.9125,57154
